RunId,iteration,param_combo,theta,max_water_capacity,water_cell_density,is_periodic,period,period_std,amplitude,n_peaks,final_value,mean_value,regime
0,0,0.5_10_0.2,0.5,10,0.2,False,158.6206896551724,97.44049069617098,0.10381818181818192,30,0.75,0.7365346534653464,chaotic
1,0,0.5_10_0.3,0.5,10,0.3,False,132.25806451612902,62.9239006552618,0.10168750000000004,32,0.68,0.6397029702970297,chaotic
2,0,0.5_10_0.4,0.5,10,0.4,False,168.0,199.43921379708655,0.1452006688963211,26,0.71,0.68,chaotic
3,0,0.5_10_0.5,0.5,10,0.5,False,132.25806451612902,116.7768668380513,0.18920454545454535,32,0.74,0.6804950495049505,chaotic
4,0,0.5_20_0.2,0.5,20,0.2,False,145.16129032258064,122.70791355877572,0.11227272727272719,32,0.75,0.6584158415841584,chaotic
5,0,0.5_20_0.3,0.5,20,0.3,False,118.18181818181819,87.74807415497126,0.10484162895927607,34,0.67,0.6361386138613861,limit_cycle
6,0,0.5_20_0.4,0.5,20,0.4,False,101.51515151515152,45.20131481871605,0.176898395721925,34,0.76,0.6812871287128713,chaotic
7,0,0.5_20_0.5,0.5,20,0.5,False,95.71428571428571,45.31071864901059,0.19361111111111112,36,0.66,0.6302970297029703,chaotic
8,0,0.5_30_0.2,0.5,30,0.2,False,150.0,213.43747458109496,0.12009740259740265,28,0.68,0.5974257425742574,chaotic
9,0,0.5_30_0.3,0.5,30,0.3,False,107.8125,63.8716669874053,0.11204545454545445,33,0.75,0.6512871287128713,chaotic
10,0,0.5_30_0.4,0.5,30,0.4,False,114.28571428571429,61.02859818083951,0.18449553001277152,29,0.84,0.6284158415841584,chaotic
11,0,0.5_30_0.5,0.5,30,0.5,False,114.28571428571429,44.031528592635546,0.11288793103448291,29,0.73,0.5997029702970297,chaotic
12,0,0.5_40_0.2,0.5,40,0.2,False,111.29032258064517,71.51548153998505,0.1513310185185185,32,0.71,0.6724752475247525,chaotic
13,0,0.5_40_0.3,0.5,40,0.3,False,124.0,68.0,0.14659340659340658,26,0.69,0.5827722772277227,chaotic
14,0,0.5_40_0.4,0.5,40,0.4,False,138.0,60.4648658313239,0.17740053050397875,26,0.77,0.6168316831683168,chaotic
15,0,0.5_40_0.5,0.5,40,0.5,False,131.0344827586207,126.90873254881342,0.16120430107526884,30,0.63,0.5095049504950495,chaotic
16,0,2.0_10_0.2,2.0,10,0.2,False,143.75,100.58423087144426,0.1006060606060607,33,0.73,0.6397029702970297,chaotic
17,0,2.0_10_0.3,2.0,10,0.3,False,155.17241379310346,166.26984070677508,0.12063636363636376,30,0.77,0.7310891089108911,chaotic
18,0,2.0_10_0.4,2.0,10,0.4,False,121.66666666666667,76.02996485304696,0.12225806451612897,31,0.73,0.7206930693069307,chaotic
19,0,2.0_10_0.5,2.0,10,0.5,False,119.35483870967742,51.86430706714041,0.1723295454545456,32,0.71,0.6864356435643565,chaotic
20,0,2.0_20_0.2,2.0,20,0.2,False,132.14285714285714,81.51937293223806,0.11813218390804592,29,0.79,0.6933663366336633,chaotic
21,0,2.0_20_0.3,2.0,20,0.3,False,121.42857142857143,63.28587552381911,0.1543821839080458,29,0.7,0.6494059405940594,chaotic
22,0,2.0_20_0.4,2.0,20,0.4,False,112.5,59.94789404140899,0.1567193675889328,33,0.72,0.6329702970297029,chaotic
23,0,2.0_20_0.5,2.0,20,0.5,False,140.0,105.83005244258362,0.18286472148541122,26,0.74,0.6213861386138614,chaotic
24,0,2.0_30_0.2,2.0,30,0.2,False,107.8125,67.44138079658512,0.14783549783549788,33,0.75,0.6642574257425743,chaotic
25,0,2.0_30_0.3,2.0,30,0.3,False,111.29032258064517,65.63545144959937,0.14385416666666673,32,0.75,0.6199009900990099,chaotic
26,0,2.0_30_0.4,2.0,30,0.4,False,103.57142857142857,42.1065218662557,0.1357161803713528,29,0.66,0.5957425742574257,chaotic
27,0,2.0_30_0.5,2.0,30,0.5,False,139.28571428571428,116.76987660194153,0.14970443349753698,29,0.73,0.5756435643564356,chaotic
28,0,2.0_40_0.2,2.0,40,0.2,False,121.15384615384616,57.46751075955359,0.1345959595959595,27,0.71,0.5981188118811881,chaotic
29,0,2.0_40_0.3,2.0,40,0.3,False,122.22222222222223,72.43558228002944,0.12726190476190458,28,0.75,0.6259405940594059,chaotic
30,0,2.0_40_0.4,2.0,40,0.4,False,122.41379310344827,99.64264328827511,0.12175438596491239,30,0.7,0.6062376237623762,chaotic
31,0,2.0_40_0.5,2.0,40,0.5,False,107.14285714285714,47.648800229022626,0.17446949602122008,29,0.72,0.5656435643564356,chaotic
32,0,5.0_10_0.2,5.0,10,0.2,False,128.78787878787878,89.6375724712063,0.10762443438914038,34,0.72,0.6618811881188119,chaotic
33,0,5.0_10_0.3,5.0,10,0.3,False,131.0344827586207,68.74966219785132,0.14719298245614032,30,0.71,0.6683168316831684,chaotic
34,0,5.0_10_0.4,5.0,10,0.4,False,113.79310344827586,55.5482885985759,0.11154838709677428,30,0.75,0.6873267326732674,chaotic
35,0,5.0_10_0.5,5.0,10,0.5,False,120.58823529411765,67.6470588235294,0.16432467532467532,35,0.65,0.6473267326732673,limit_cycle
36,0,5.0_20_0.2,5.0,20,0.2,False,129.6875,85.56738481308167,0.10090909090909095,33,0.76,0.6725742574257426,chaotic
37,0,5.0_20_0.3,5.0,20,0.3,False,118.51851851851852,54.68452985271629,0.18113095238095234,28,0.72,0.6774257425742575,chaotic
38,0,5.0_20_0.4,5.0,20,0.4,False,107.57575757575758,83.5946316614165,0.13834422657952072,34,0.77,0.6607920792079207,chaotic
